#Campaign GEM 2008/2009 Modeling Challenge
#Event 1
#Metrics 4
#Instrument YKC
#Submission Observation
#ModelSettingID
#RORnumber
Year Month Day Hour Min Sec GeomagLat GeomagLon dBdt_NorthGeomag dBdt_EastGeomag dBdt_DownGeomag
[year]  [month]  [day] [hour]  [min]  [s] [deg] [deg] [nT/s] [nT/s] [nT/s]
2003 10 29 2 51 30     69.0000    -61.4000      0.4533      0.3667      0.4783
2003 10 29 2 52 30     69.0000    -61.4000      0.0417      0.1100     -0.0883
2003 10 29 2 53 30     69.0000    -61.4000      0.1367     -0.3300     -0.0567
2003 10 29 2 54 30     69.0000    -61.4000      0.0967     -0.1067     -0.1133
2003 10 29 2 55 30     69.0000    -61.4000      0.5000      0.1533     -0.2200
2003 10 29 2 56 30     69.0000    -61.4000      0.3833      0.0483      0.1533
2003 10 29 2 57 30     69.0000    -61.4000     -0.0400      0.0133      0.2700
2003 10 29 2 58 30     69.0000    -61.4000      0.0817      0.1283     -0.0167
2003 10 29 2 59 30     69.0000    -61.4000     -0.2417      0.0333      0.1267
2003 10 29 3 0 30     69.0000    -61.4000     -0.9100     -0.1667      0.0567
2003 10 29 3 1 30     69.0000    -61.4000     -0.1283     -0.1567     -0.3500
2003 10 29 3 2 30     69.0000    -61.4000      0.7917     -0.1433     -0.1750
2003 10 29 3 3 30     69.0000    -61.4000      0.8633     -0.0617      0.3967
2003 10 29 3 4 30     69.0000    -61.4000      0.1817      0.0400      0.4867
2003 10 29 3 5 30     69.0000    -61.4000     -0.3217      0.4400     -0.0133
2003 10 29 3 6 30     69.0000    -61.4000     -0.1000      0.2433     -0.0650
2003 10 29 3 7 30     69.0000    -61.4000      0.2233     -0.0783      0.0233
2003 10 29 3 8 30     69.0000    -61.4000      0.3417     -0.1200      0.4150
2003 10 29 3 9 30     69.0000    -61.4000     -0.1000     -0.0183      0.4117
2003 10 29 3 10 30     69.0000    -61.4000     -0.1833      0.1300      0.1967
2003 10 29 3 11 30     69.0000    -61.4000     -0.0633      0.2050     -0.1300
2003 10 29 3 12 30     69.0000    -61.4000      0.1600     -0.0133     -0.2500
2003 10 29 3 13 30     69.0000    -61.4000      0.5283      0.1633     -0.3067
2003 10 29 3 14 30     69.0000    -61.4000      0.3083      0.0500      0.2400
2003 10 29 3 15 30     69.0000    -61.4000     -0.3633      0.0583      0.5833
2003 10 29 3 16 30     69.0000    -61.4000     -0.4217     -0.1650      0.1400
2003 10 29 3 17 30     69.0000    -61.4000     -0.1750     -0.2050     -0.2050
2003 10 29 3 18 30     69.0000    -61.4000      0.2300     -0.1650     -0.1983
2003 10 29 3 19 30     69.0000    -61.4000      0.2067      0.2783     -0.0900
2003 10 29 3 20 30     69.0000    -61.4000      0.1517      0.3167     -0.0200
2003 10 29 3 21 30     69.0000    -61.4000      0.2733      0.2117      0.2133
2003 10 29 3 22 30     69.0000    -61.4000      0.4500      0.1667      0.0300
2003 10 29 3 23 30     69.0000    -61.4000      0.2917     -0.0433     -0.0083
2003 10 29 3 24 30     69.0000    -61.4000      0.0250     -0.1600      0.0917
2003 10 29 3 25 30     69.0000    -61.4000     -0.2183     -0.2200     -0.1150
2003 10 29 3 26 30     69.0000    -61.4000     -0.1533      0.1133     -0.6250
